j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[True, True, True]	1.0	2.0	0.0	iii	0.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.125	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	1.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.25	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.375	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.5	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.625	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.75	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
0.875	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
1.0	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	4.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
1.125	2.0	1.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	1.0	2.0	0.0	iii	4.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	a	C	5	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
