j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	0.0	['G5']	[]	[True]	0.0	1.0	0.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.125	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.25	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.375	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.5	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.625	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.75	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
0.875	1.0	0.0	['G5']	[]	[False]	0.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']	0.0	0.67	0.44	1.0
1.0	1.0	1.0	['C4', 'G4', 'F5']	['P5', 'P4']	[True, True, True]	1.0	3.0	1.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F']	0.22	0.0	0.05	0.0
1.125	1.0	1.0	['C4', 'G4', 'F5']	['P5', 'P4']	[False, False, False]	1.0	3.0	1.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'E', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F']	0.22	0.0	0.05	0.0
