j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[True, True, True]	0.0	1.0	0.0	I	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.125	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.25	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.375	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.5	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.625	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.75	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
0.875	1.0	0.0	['E-2', 'E-3', 'E-4']	['P1', 'P1']	[False, False, False]	0.0	1.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-']	0.0	0.67	0.44	0.0
1.0	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[True, True, True]	1.0	4.0	1.0	I	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
1.125	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[False, False, False]	1.0	4.0	1.0	I	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
1.25	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[False, False, False]	1.0	4.0	1.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
1.375	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[False, False, False]	1.0	4.0	1.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
1.5	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[False, False, False]	1.0	4.0	1.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
1.625	1.0	1.0	['G2', 'G3', 'G4']	['P1', 'P1']	[False, False, False]	1.0	4.0	1.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-', 'E-', 'E-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.5
