j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['B-3', 'D-4']	['m3']	[True, True]	1.0	2.0	0.0	i	0.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.125	0.5	1.0	['B-3', 'D-4']	['m3']	[False, False]	1.0	2.0	0.0	i	1.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.25	0.5	1.0	['B-3', 'D-4']	['m3']	[False, False]	1.0	2.0	0.0	i	2.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.375	0.5	1.0	['B-3', 'D-4']	['m3']	[False, False]	1.0	2.0	0.0	i	2.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.5	0.25	1.0	['B-3', 'D-4', 'F4', 'B-4']	['m3', 'P5', 'P1']	[True, False, True, True]	1.0	2.0	0.0	i	3.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.625	0.25	1.0	['B-3', 'D-4', 'F4', 'B-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	3.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.75	0.25	1.0	['B-3', 'D-4', 'F4', 'C5']	['m3', 'P5', 'M2']	[False, False, False, True]	1.0	2.0	0.0	i	3.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
0.875	0.25	1.0	['B-3', 'D-4', 'F4', 'C5']	['m3', 'P5', 'M2']	[False, False, False, False]	1.0	2.0	0.0	i	3.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
1.0	0.5	1.0	['B-3', 'B-4', 'D-5']	['P1', 'm3']	[True, True, True]	1.0	2.0	0.0	i	4.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
1.125	0.5	1.0	['B-3', 'B-4', 'D-5']	['P1', 'm3']	[False, False, False]	1.0	2.0	0.0	i	4.0	('B-', 'D-', 'F')	B-	D-	F	B-	B-	0.0	min	(1, 5, 10)	b-	b-	1	None	False	['B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'B-', 'B-', 'D-', 'F', 'C', 'B-', 'D-', 'F', 'C', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-', 'B-', 'D-', 'F', 'B-', 'D-']	0.04	0.0	0.0	0.0
