j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[True, True, True, True]	1.0	1.0	0.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['C3', 'C4', 'G4', 'E5']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E', 'C', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[True, False, False, False]	1.0	1.0	1.0	I	0.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[False, False, False, False]	1.0	1.0	1.0	I	1.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.25	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.375	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.5	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[False, False, False, False]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
1.625	1.0	1.0	['E3', 'C4', 'G4', 'E5']	['m6', 'm3', 'P1']	[False, False, False, False]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E', 'E', 'C', 'G', 'E']	0.0	0.0	0.0	0.0
