j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['C4', 'A-4']	['m6']	[True, True]	0.0	0.5	0.0	I	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['C', 'A-', 'C', 'A-', 'C', 'A-', 'C', 'A-']	0.0	0.33	0.11	1.0
0.125	0.5	0.0	['C4', 'A-4']	['m6']	[False, False]	0.0	0.5	0.0	I	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['C', 'A-', 'C', 'A-', 'C', 'A-', 'C', 'A-']	0.0	0.33	0.11	1.0
0.25	0.5	0.0	['C4', 'A-4']	['m6']	[False, False]	0.0	0.5	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['C', 'A-', 'C', 'A-', 'C', 'A-', 'C', 'A-']	0.0	0.33	0.11	1.0
0.375	0.5	0.0	['C4', 'A-4']	['m6']	[False, False]	0.0	0.5	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['C', 'A-', 'C', 'A-', 'C', 'A-', 'C', 'A-']	0.0	0.33	0.11	1.0
0.5	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	1.5	1.0	I	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
0.625	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
0.75	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
0.875	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
1.0	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
1.125	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
1.25	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
1.375	1.0	1.0	['A-3', 'E-4', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-', 'D-', 'B-']	0.2	0.0	0.04	0.33
