j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['E5']	[]	[True]	0.0	0.5	0.0	V	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	A	A	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.125	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	A	A	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.25	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	A	A	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.375	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	A	A	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.5	0.5	1.0	['A3', 'C#4', 'E5']	['M3', 'P5']	[True, True, True]	1.0	3.0	1.0	I	0.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
0.625	0.5	1.0	['A3', 'C#4', 'E5']	['M3', 'P5']	[False, False, False]	1.0	3.0	1.0	I	1.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
0.75	0.5	1.0	['A3', 'C#4', 'E5']	['M3', 'P5']	[False, False, False]	1.0	3.0	1.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
0.875	0.5	1.0	['A3', 'C#4', 'E5']	['M3', 'P5']	[False, False, False]	1.0	3.0	1.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
1.0	0.25	1.0	['E4', 'E5']	['P1']	[True, False]	1.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
1.125	0.25	1.0	['E4', 'E5']	['P1']	[False, False]	1.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
1.25	0.25	1.0	['E4', 'F#5']	['M2']	[False, True]	1.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
1.375	0.25	1.0	['E4', 'F#5']	['M2']	[False, False]	1.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'E', 'E', 'E', 'E', 'F#', 'E', 'F#', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#']	0.03	0.0	0.0	0.33
